Plot	Row	Column	Genotype	Year	Germ	PH
1	1	1	G217	1979	60	90
2	1	2	G235	1980	86	70
3	1	3	G238	1984	47	70
4	1	4	G237	2010	38	70
5	1	5	G131	2001	56	75
6	1	6	G209	2010	43	85
7	1	7	G13	2018	95	130
8	1	8	G60	1979	42	85
9	1	9	G218	2010	62	105
10	1	10	G218	1979	43	90
11	1	11	G243	2003	70	70
12	1	12	G221	1979	49	95
13	1	13	G156	1980	59	90
14	1	14	G213	1979	58	110
15	1	15	G225	1979	48	100
16	1	16	G231	1985	31	85
17	2	16	G107	1980	63	70
18	2	15	G212	1979	37	105
19	2	14	G195	1979	66	100
20	2	13	G206	1979	64	90
21	2	12	G13	2018	95	120
22	2	11	G157	1984	64	105
23	2	10	G189	1980	66	95
24	2	9	G249	1980	69	95
25	2	8	G135	1980	54	105
26	2	7	G27	1980	63	90
27	2	6	G12	1980	50	90
28	2	5	G226	1986	70	120
29	2	4	G61	1985	46	100
30	2	3	G232	1985	NA	80
31	2	2	G181	1979	53	90
32	2	1	G183	1979	60	105
33	3	1	G256	2005	68	75
34	3	2	G256	1986	44	75
35	3	3	G48	1996	63	90
36	3	4	G185	1992	62	80
37	3	5	G233	1979	61	105
38	3	6	G82	1980	66	105
39	3	7	G250	2001	33	115
40	3	8	G13	2018	95	120
41	3	9	G219	1979	38	115
42	3	10	G242	1979	43	110
43	3	11	G64	1986	58	85
44	3	12	G248	1980	53	85
45	3	13	G227	2004	59	95
46	3	14	G190	1983	60	100
47	3	15	G192	1992	65	80
48	3	16	G240	2001	36	100
49	4	16	G244	1980	83	125
50	4	15	G254	1980	61	80
51	4	14	G216	1979	61	125
52	4	13	G211	1985	35	95
53	4	12	G214	1979	62	100
54	4	11	G230	1979	63	195
55	4	10	G193	1979	62	100
56	4	9	G255	1986	65	100
57	4	8	G184	1983	67	100
58	4	7	G184	1982	65	120
59	4	6	G178	1980	55	105
60	4	5	G246	2010	62	105
61	4	4	G34	2010	38	95
62	4	3	G133	2001	67	70
63	4	2	G13	2018	95	120
64	4	1	G132	1983	38	90
65	5	1	G220	1979	37	100
66	5	2	G229	1979	59	115
67	5	3	G239	2003	59	100
68	5	4	G65	2003	52	100
69	5	5	G223	1979	39	155
70	5	6	G75	1980	62	90
71	5	7	G188	1979	81	110
72	5	8	G88	1980	60	105
73	5	9	G13	2018	95	120
74	5	10	G134	1980	63	100
75	5	11	G97	1985	34	105
76	5	12	G49	1984	52	105
77	5	13	G203	1985	30	115
78	5	14	G247	2010	64	120
79	5	15	G247	1980	49	120
80	5	16	G207	1982	50	125
81	6	16	G208	1986	53	120
82	6	15	G224	1985	46	110
83	6	14	G228	1979	63	115
84	6	13	G122	2003	63	135
85	6	12	G126	2003	47	120
86	6	11	G83	1980	58	115
87	6	10	G196	1980	36	135
88	6	9	G13	2018	95	125
89	6	8	G234	1980	56	105
90	6	7	G14	2010	41	140
91	6	6	G245	1980	57	130
92	6	5	G176	2005	70	100
93	6	4	G176	1980	38	105
94	6	3	G158	1984	70	110
95	6	2	G158	1980	47	115
96	6	1	G205	2010	70	115
97	7	1	G74	1980	50	105
98	7	2	G92	1980	39	145
99	7	3	G46	1982	67	160
100	7	4	G59	1979	57	110
101	7	5	G98	1982	65	165
102	7	6	G182	1986	51	105
103	7	7	G177	1980	69	100
104	7	8	G47	2003	54	100
105	7	9	G191	1979	63	105
106	7	10	G179	1980	51	90
107	7	11	G26	1984	69	145
108	7	12	G123	2003	50	115
109	7	13	G236	1980	54	105
110	7	14	G159	1985	65	105
111	7	15	G94	1980	41	130
112	7	16	G163	1996	57	320
113	8	16	G93	1980	60	155
114	8	15	G120	1980	37	210
115	8	14	G194	1979	60	110
116	8	13	G162	1996	67	315
117	8	12	G215	1979	62	110
118	8	11	G154	1985	66	145
119	8	10	G154	1984	65	150
120	8	9	G115	1986	45	190
121	8	8	G124	1986	35	150
122	8	7	G63	1980	48	95
123	8	6	G90	1980	53	190
124	8	5	G77	1983	39	180
125	8	4	G86	1983	36	170
126	8	3	G42	2003	47	110
127	8	2	G42	1983	51	160
128	8	1	G22	1984	55	140
129	9	1	G25	2003	48	185
130	9	2	G24	1984	39	150
131	9	3	G199	1984	41	230
132	9	4	G202	1984	41	160
133	9	5	G138	1984	51	190
134	9	6	G164	1990	65	320
135	9	7	G16	1984	31	200
136	9	8	G23	2003	66	195
137	9	9	G127	1999	69	210
138	9	10	G127	1997	53	220
139	9	11	G119	1988	47	190
140	9	12	G125	1986	39	280
141	9	13	G129	1980	55	140
142	9	14	G100	2004	63	150
143	9	15	G155	1980	66	100
144	9	16	G109	1986	70	170
145	10	16	G33	2003	58	155
146	10	15	G31	1984	82	180
147	10	14	G17	2003	70	205
148	10	13	G200	2003	70	200
149	10	12	G137	1984	39	195
150	10	11	G141	1980	67	210
151	10	10	G222	1979	59	80
152	10	9	G128	1986	63	215
153	10	8	G116	1986	45	190
154	10	7	G121	1986	41	215
155	10	6	G55	2003	59	205
156	10	5	G8	1980	48	230
157	10	4	G149	1982	45	295
158	10	3	G111	1985	45	170
159	10	2	G186	1979	70	135
160	10	1	G2	2010	62	300
161	11	1	G252	1980	37	195
162	11	2	G7	1980	57	230
163	11	3	G9	1985	NA	270
164	11	4	G96	1983	36	200
165	11	5	G197	2003	54	210
166	11	6	G197	1985	54	230
167	11	7	G28	2003	57	230
168	11	8	G18	2003	52	265
169	11	9	G15	1984	52	225
170	11	10	G201	1984	49	205
171	11	11	G161	1990	61	310
172	11	12	G81	1980	54	105
173	11	13	G3	2010	67	190
174	11	14	G5	1980	41	265
175	11	15	G175	2010	64	130
176	11	16	G21	1984	31	215
177	12	16	G106	1986	59	215
178	12	15	G204	1979	38	110
179	12	14	G136	1984	55	230
180	12	13	G35	1986	58	250
181	12	12	G117	1986	65	320
182	12	11	G6	1980	41	215
183	12	10	G253	1982	36	215
184	12	9	G253	1980	61	225
185	12	8	G241	1984	65	110
186	12	7	G95	1983	36	270
187	12	6	G80	1986	66	250
188	12	5	G113	1983	68	220
189	12	4	G62	1983	51	210
190	12	3	G29	1984	38	210
